Unnamed: 0,can_compost,what_to_know,tips,item
22,Yes,"Jams and jellies can be composted, but they should be added in moderation. They are high in sugar content, which can attract pests and potentially cause odor issues if not managed properly. Spread them thinly throughout the compost pile to avoid clumping.","Mix jams and jellies thoroughly with other compost materials, especially carbon-rich 'browns' like dried leaves or paper. Avoid adding large quantities at once. If possible, dilute the jam or jelly with water before adding to help distribute it more evenly in the compost pile.",Jams and jellies
23,Yes,"Bread can be composted, but it should be added in moderation. It's a 'green' material that adds nitrogen to your compost. However, bread can attract pests and rodents if not properly managed in your compost pile.",Break bread into small pieces to speed up decomposition. Bury it in the center of your compost pile to deter pests. Mix with plenty of 'brown' materials like dry leaves or paper to balance moisture and prevent clumping.,Bread
24,Yes,"Tortillas, whether corn or flour, are compostable. They are considered a 'green' material, providing nitrogen to your compost. However, they can potentially attract pests if not managed properly.",Tear or cut tortillas into smaller pieces to speed up decomposition. Bury them in the center of your compost pile to deter pests. Balance with 'brown' materials like dry leaves or paper to maintain proper carbon-to-nitrogen ratio.,Tortillas
25,Yes,Pastries are compostable but should be added in moderation. They are considered 'green' materials and can attract pests if not managed properly. Avoid pastries with dairy fillings or excessive fats.,"Break pastries into smaller pieces to speed up decomposition. Mix thoroughly with 'brown' materials like dry leaves or paper to balance carbon-to-nitrogen ratio. If possible, bury pastries in the center of your compost pile to deter pests.",Pastries
26,Yes,"Crackers are generally compostable as they're made from flour and other organic ingredients. However, they're considered a 'brown' material, high in carbon. They may take longer to break down compared to fresh food scraps.",Crush or break crackers into smaller pieces to speed up decomposition. Mix with 'green' materials like fruit and vegetable scraps to balance the carbon-to-nitrogen ratio. Avoid composting crackers with excessive salt or artificial preservatives as these may harm beneficial microorganisms in your compost.,Crackers
27,Yes,"Chips can be composted, but they're not ideal. They're often high in salt and oils, which can be detrimental to your compost pile if added in large quantities. They also break down slowly due to their processed nature.",Use chips sparingly in your compost. Crush them into smaller pieces to speed up decomposition. Mix thoroughly with other compost materials to dilute the salt and oil content. Avoid adding flavored or cheese-coated chips as they may attract pests.,Chips
28,Yes,"Oats are an excellent addition to compost bins. They're considered a 'green' material, providing nitrogen to your compost. Oats break down relatively quickly and can help balance the carbon-to-nitrogen ratio in your compost pile.","Moisten dry oats before adding to your compost to prevent them from blowing away. Mix oats thoroughly with other compost materials to prevent clumping. If adding large amounts, balance with 'brown' materials like dried leaves or paper to maintain proper composting conditions.",Oats
29,Yes,"Spent grain is an excellent addition to compost. It's rich in nitrogen and adds valuable organic matter. The grain is already broken down from the brewing process, which helps it decompose quickly.","Mix spent grain with brown materials like leaves or cardboard to balance the carbon-to-nitrogen ratio. Allow the grain to cool before adding to the compost. If using large quantities, add gradually to avoid overwhelming your compost pile with moisture and nitrogen.",Spent grain
30,Yes,"Pasta is compostable as it's made from organic materials like flour and water. It breaks down relatively quickly in a compost bin. Avoid composting pasta with heavy sauces or oils, as these can attract pests and slow down decomposition.","Break pasta into smaller pieces to speed up decomposition. Mix with brown materials like dry leaves or paper to balance moisture and carbon levels. If composting large amounts, bury the pasta in the center of your compost pile to deter pests.",Pasta
31,Yes,Rice is compostable but can attract pests if not managed properly. It's a green material that adds nitrogen to your compost. Cooked rice decomposes faster than uncooked rice.,Mix rice thoroughly with brown materials to prevent clumping. Avoid adding large quantities at once to prevent odors and pest issues. Consider burying rice deeper in the compost pile to deter animals.,Rice
32,Yes,"Dry cereal is generally safe to compost. It's considered a 'brown' material, providing carbon to your compost. Avoid cereals with high sugar or fat content as they may attract pests.","Crush or break up larger cereal pieces to speed decomposition. Mix with 'green' materials like fruit scraps for balanced compost. If the cereal is stale or slightly moldy, it's still fine to compost.",Dry cereal
33,Yes,"Popcorn, both popped and unpopped kernels, can be composted. It's considered a 'green' material, adding nitrogen to your compost. Popped popcorn will break down faster than unpopped kernels.","Avoid adding buttered or heavily salted popcorn as excessive oil and salt can harm your compost. If adding a large amount, mix it well with other materials to prevent clumping. Crush popped popcorn into smaller pieces to speed up decomposition.",Popcorn
34,Yes,Shrimp shells are compostable and rich in nitrogen and calcium. They break down slowly and can attract pests if not managed properly. The shells may create a slight odor during decomposition.,Crush the shells into smaller pieces to speed up decomposition. Bury them deep in the compost pile to deter pests. Balance with carbon-rich materials like leaves or paper. Avoid adding large quantities at once to prevent odor issues.,Shrimp shells
35,Yes,Oyster shells are slow to decompose and are rich in calcium. They can help balance pH in acidic soils and provide essential minerals. Shells should be cleaned and crushed before adding to compost.,Crush shells into small pieces to speed up decomposition. Use sparingly as they decompose slowly. Consider using as a soil amendment directly in garden beds for calcium-loving plants like tomatoes.,Oyster shells
36,Yes,"Clam shells are compostable but break down very slowly. They are high in calcium carbonate, which can help balance the pH of your compost. Shells don't contribute much in terms of nutrients but can improve soil structure.",Crush or grind the shells into smaller pieces to speed up decomposition. Use sparingly as they take a long time to break down. They're best mixed with other compostable materials rather than added in large quantities at once.,Clam shells
37,Yes,"Eggshells are an excellent addition to compost. They're rich in calcium carbonate, which helps balance soil pH and provides nutrients for plants. Eggshells break down slowly, so they continue to enrich soil over time.","Rinse eggshells to remove any residual egg white to prevent odors. Crush the shells into small pieces to speed up decomposition. For even faster breakdown, you can bake and grind them into a powder before adding to your compost.",Egg shells
38,No,"Poultry and other meats should not be added to home compost bins. They can attract pests, create unpleasant odors, and potentially harbor harmful pathogens.","Instead of composting, consider disposing of poultry waste in municipal waste or look into industrial composting facilities that can handle animal products. For backyard composting, stick to plant-based materials, eggshells, and other non-meat food scraps.",Poultry
39,No,"Meat products, including beef, should not be added to home compost bins. They can attract pests, create unpleasant odors, and potentially harbor harmful pathogens.","Instead of composting, consider disposing of beef scraps in the garbage or explore municipal composting programs that may accept meat waste. For a sustainable alternative, reduce meat consumption or use all parts of the animal when cooking to minimize waste.",Beef
40,No,"Meat products, including pork, should not be added to home compost bins. They can attract pests, create unpleasant odors, and potentially harbor harmful pathogens.","Instead of composting, consider disposing of pork in the trash or through a municipal food waste program. For a sustainable alternative, reduce meat waste by planning meals carefully and using leftovers in new recipes.",Pork
41,Yes,Fish skin is compostable but requires careful management. It's rich in nitrogen and can attract pests if not handled properly. The strong odor can be a concern for some gardeners.,Bury fish skin deep in the center of your compost pile to mask odors. Mix with plenty of carbon-rich materials like leaves or sawdust. Use sparingly to avoid overwhelming your compost with protein and fats. Consider using a closed composting system to deter animals.,Fish skin
42,No,"Bones are not recommended for home composting. They take an extremely long time to break down, can attract pests, and may create unpleasant odors. Bones also don't provide significant nutrients to your compost.","Instead of composting, consider other disposal methods for bones. You can bury large bones deep in a non-vegetable area of your garden, or dispose of them in your regular trash. For a more eco-friendly option, some industrial composting facilities can process bones.",Bones
43,Yes,"Moldy cheese can be composted, but it should be done with caution. It's a green material that adds nitrogen to your compost. However, it can attract pests and create odors if not managed properly.","Bury the moldy cheese deep in the center of your compost pile to deter pests. Use it in moderation and mix with plenty of brown materials. If you have a worm bin, avoid adding cheese as it can harm the worms.",Moldy cheese
44,Yes,"Sour cream is a dairy product that can be composted, but it should be used in moderation. It's considered a 'green' material, high in nitrogen. Be aware that it may attract pests and create odors if not managed properly.","Add sour cream in small amounts and mix it well with brown materials like leaves or sawdust. Bury it in the center of your compost pile to deter pests. If using a closed bin, ensure good aeration to prevent anaerobic conditions and bad smells.",Sour cream
45,Yes,"Yogurt is a dairy product that can be composted, but it requires some caution. It's rich in nutrients and beneficial bacteria, which can aid decomposition. However, it may attract pests and create odors if not managed properly.","Add yogurt in small amounts and mix it well with dry, carbon-rich materials like leaves or paper. Bury it in the center of your compost pile to deter pests. Avoid composting yogurt if you have a worm bin, as worms don't process dairy well.",Yogurt
46,Yes,"Spoiled milk can be composted, but it should be used in moderation. It's high in nitrogen and can add beneficial bacteria to your compost. However, it may attract pests and cause odors if not properly managed.","Pour milk into the center of your compost pile and cover it with brown materials like leaves or sawdust to reduce odors. Use sparingly, as too much can create an imbalance. If possible, dilute the milk with water before adding. Avoid adding milk to worm bins as it can harm the worms.",Spoiled milk
47,Yes,"Powdered milk is biodegradable and can be composted. It's a good source of nitrogen for your compost pile. However, use it in moderation as it can attract pests if used in large quantities.",Mix powdered milk thoroughly with other compost materials to avoid clumping. Use sparingly to prevent odors and pest attraction. Consider moistening it slightly before adding to the compost to help it blend better with other materials.,Powdered milk
0,Yes,Tofu is a plant-based protein made from soybeans and is compostable. It breaks down relatively quickly and adds nitrogen to your compost. Avoid composting tofu if it has been cooked with oils or seasoned with salt.,Break the tofu into smaller pieces to speed up decomposition. Bury it in the center of your compost pile to deter pests. Balance with carbon-rich materials like dry leaves or paper to prevent odors and maintain proper compost structure.,Tofu
1,Yes,"Tempeh is a fermented soybean product that can be composted. It's rich in nitrogen and breaks down relatively quickly. As a protein-rich food, it may attract pests if not managed properly.",Bury tempeh deep in the center of your compost pile to deter pests. Break it into smaller pieces to speed up decomposition. Mix with plenty of carbon-rich materials like dry leaves or shredded paper to balance the nitrogen content and prevent odors.,Tempeh
2,Yes,"Beans are excellent for composting. They are rich in nitrogen, which is essential for the composting process. Both raw and cooked beans can be composted, including their pods. However, avoid adding large quantities of cooked beans with oil or salt.","Break up or crush larger bean pods to speed up decomposition. Mix bean waste with carbon-rich materials like dry leaves or paper to maintain a good balance. If adding a large amount of beans, make sure to turn your compost pile more frequently to prevent odors and promote faster breakdown.",Beans
3,Yes,"Nuts can be composted, but they break down slowly due to their high oil content. Whole nuts may take a very long time to decompose, so it's best to crush or grind them before adding to your compost pile.","Mix crushed nuts with other green materials and ensure proper moisture levels. Avoid adding large quantities at once to prevent attracting pests. If possible, use nut shells rather than whole nuts for faster decomposition.",Nuts
4,Yes,"Seeds can be composted, but some may sprout in your compost pile. Most seeds will break down over time, adding nutrients to your compost. Heat from the composting process can kill many seeds, but some hardy seeds may survive.","To prevent unwanted sprouting, ensure your compost pile reaches high temperatures (above 130°F) for several days. Crush or grind larger seeds before adding them to the compost. If you're concerned about weed seeds, consider hot composting methods or avoid adding seedy weeds to your pile.",Seeds
5,Yes,"Nut shells can be composted, but they break down very slowly. They're considered a 'brown' material, adding carbon to your compost. Some nut shells, like walnuts, contain juglone which can inhibit plant growth.",Crush or grind nut shells into smaller pieces to speed up decomposition. Use in moderation and mix well with other compost materials. Avoid using black walnut shells in compost intended for sensitive plants.,Nut shells
6,Yes,"Nut butters are compostable but should be added in moderation. They are high in fats and oils, which can slow down decomposition and potentially attract pests if used excessively.","Add nut butters in small amounts and mix well with other compost materials. Spread thinly over dry, carbon-rich materials like leaves or shredded paper. Avoid adding large globs, as they can create anaerobic pockets in your compost pile.",Nut butters
7,No,"Protein powder is not recommended for composting. It's a processed food product that can attract pests, create odors, and potentially disrupt the balance of your compost pile.","Instead of composting, consider using leftover protein powder in recipes like smoothies or baked goods. If you must dispose of it, mix small amounts into your regular trash or check with local waste management for proper disposal methods.",Protein powder
8,"Yes, with caution","Most sauces and dips can be composted, but they require special attention. Avoid composting sauces or dips that contain dairy, meat, or oils as these can attract pests and create odors. Plant-based sauces and dips are generally safer to compost.","Add sauces and dips in small quantities and mix well with dry, carbon-rich materials like leaves or shredded paper. Avoid adding large amounts at once to prevent anaerobic conditions. If the sauce or dip contains salt, use sparingly as excess salt can harm your compost and plants.",Sauces and dips
9,Yes,"Cookies are generally compostable, but they should be added in moderation. They are considered a 'green' material due to their high sugar content. Avoid cookies with artificial preservatives or excessive oils.","Break cookies into smaller pieces to speed up decomposition. Mix well with 'brown' materials like dry leaves or cardboard to balance the carbon-to-nitrogen ratio. If the cookies contain chocolate, use sparingly as it can be toxic to some composting organisms.",Cookies
10,Yes,"Chocolate can be composted, but it should be used in moderation. It's high in fat content, which can slow down the decomposition process and potentially attract pests. Plain chocolate is better than chocolate with additives.","Break chocolate into small pieces before adding to the compost. Mix it well with other compost materials to distribute it evenly. Avoid composting large amounts of chocolate at once, and never add chocolate containing dairy products or fillings.",Chocolate
11,Yes,"Cake can be composted, but it's important to do so in moderation. It's considered a 'green' material due to its high nitrogen content. Cake can attract pests if not managed properly in your compost pile.","Break the cake into smaller pieces to speed up decomposition. Mix thoroughly with 'brown' materials like dried leaves or cardboard to balance the carbon-to-nitrogen ratio. Avoid composting cakes with excessive frosting or those containing dairy products, as these can cause odor issues and attract pests.",Cake
12,Yes,"Granola bars are generally compostable, but they break down slowly due to their processed nature. They contain a mix of ingredients, including grains, nuts, and sometimes chocolate or dried fruit, which can all be composted.","Break or crumble the granola bars into smaller pieces to speed up decomposition. Be aware that any packaging should be removed before composting. If the bars contain a lot of sugary or fatty ingredients, add them in moderation to avoid attracting pests.",Granola bars
13,Yes,"Wooden toothpicks are compostable as they are made from natural wood. They break down slowly due to their small size and density. Avoid toothpicks with colored dyes or those made from bamboo, as they may not be fully biodegradable.",Break or crush toothpicks into smaller pieces to speed up decomposition. Mix them with green materials to balance carbon-to-nitrogen ratio. Ensure toothpicks are untreated and free from any artificial coatings or flavors before composting.,Wooden toothpicks
14,Yes,"Wooden skewers are compostable as they are made from natural, untreated wood. They break down slowly and can be considered a 'brown' material in your compost mix. Avoid composting skewers with food residue still attached.","Break or cut skewers into smaller pieces to speed up decomposition. Mix with 'green' materials like vegetable scraps for balanced compost. If skewers are painted or treated, do not compost them as they may contain harmful chemicals.",Wooden skewers
15,Yes,"Popsicle sticks are typically made of wood and are compostable. They are considered a 'brown' material, providing carbon to your compost. However, ensure they are plain wood without any wax coating or dyes.","Break or cut the sticks into smaller pieces to speed up decomposition. Mix with 'green' materials like food scraps for balanced compost. If using a large quantity, add them gradually to avoid overwhelming the compost pile with woody material.",Popsicle sticks
16,Yes,"Paper towels are generally compostable, but only if they're unbleached and haven't been used with harsh chemicals. They're considered a 'brown' material, providing carbon to your compost pile.","Tear paper towels into smaller pieces to speed up decomposition. Avoid composting paper towels used with cleaning products or to wipe up oils. If possible, use paper towels made from recycled materials for better environmental impact.",Paper towels
17,Yes,"Tissues are generally compostable as they are made from paper, which is a carbon-rich 'brown' material. However, only compost plain, unscented, and unbleached tissues. Avoid tissues with lotion, antibacterial agents, or synthetic fibers.","Tear tissues into smaller pieces to speed up decomposition. Mix with 'green' materials like food scraps for balanced compost. If tissues are used for wiping noses during illness, it's best to discard them in the trash to prevent spreading pathogens in your compost.",Tissues
18,Yes,"Cardboard tubes, such as those from toilet paper or paper towel rolls, are excellent for composting. They're carbon-rich 'brown' materials that help balance the nitrogen in your compost. They break down relatively quickly and help aerate the compost pile.",Shred or cut the tubes into smaller pieces to speed up decomposition. Make sure the tubes are plain cardboard without any glossy printing or plastic lining. Wet the cardboard before adding to the compost to help it break down faster. Mix with 'green' materials like kitchen scraps for a balanced compost.,Cardboard tubes
19,Yes,"Pizza boxes are generally compostable, but only if they're free from grease and food residue. The cardboard provides carbon-rich 'brown' material for your compost. Tear the box into smaller pieces to speed up decomposition.","Remove any plastic or non-paper elements before composting. If the box is heavily greased, tear off and discard the soiled parts. Use pizza boxes as part of your 'brown' materials, balancing them with 'green' materials like vegetable scraps for optimal composting.",Pizza boxes
20,Yes,"Paper egg cartons are excellent for composting. They're made of biodegradable materials and provide carbon-rich 'brown' matter to your compost. They help create air pockets in the compost pile, improving aeration.",Tear or shred the egg cartons into smaller pieces to speed up decomposition. Wet the cartons before adding to the compost pile. Balance with 'green' materials like kitchen scraps. Avoid cartons with glossy printing or those that are wax-coated.,Paper egg cartons
21,Yes,Cotton string is biodegradable and can be composted. It's made from natural fibers and will break down over time. Ensure the string is 100% cotton and not treated with any synthetic materials or dyes.,"Cut the string into smaller pieces to speed up decomposition. Mix it well with other compost materials to prevent clumping. Avoid adding large amounts at once, as it may take longer to break down compared to food scraps.",Cotton string
22,Yes,"Paper grocery bags are excellent for composting as they're made from biodegradable materials. They count as 'brown' material in your compost mix, providing carbon. Shred or tear them into smaller pieces to speed up decomposition.",Wet the bags before adding to the compost pile to help them break down faster. Avoid bags with glossy prints or plastic coatings. Mix with 'green' materials like food scraps to maintain a good carbon-to-nitrogen ratio in your compost.,Paper grocery bags
23,Yes,"Sourdough discard is a great addition to compost bins. It's rich in nutrients and microorganisms that can help accelerate the composting process. However, it's considered a 'green' material, so it should be balanced with 'brown' materials.","Mix sourdough discard thoroughly with other compost materials to prevent clumping. Use in moderation to maintain proper carbon-to-nitrogen ratio. If you notice any odors, add more brown materials like dried leaves or cardboard to balance it out.",Sourdough discard
24,Yes,Kombucha scobies are excellent for composting. They are rich in nitrogen and beneficial microorganisms. Scobies break down quickly and can help accelerate the decomposition process in your compost pile.,Chop or tear the scoby into smaller pieces to speed up decomposition. Mix with carbon-rich materials like dry leaves or paper to balance the nitrogen content. Bury the scoby pieces within the compost pile to avoid attracting pests.,Kombucha scobies
25,Yes,"Alcoholic drinks can be added to compost in moderation. They contain sugars and yeasts that can help feed microorganisms in your compost. However, excessive amounts can slow down decomposition and attract pests.","Pour alcoholic drinks sparingly over your compost pile, mixing them well with other materials. Use as a supplement to regular watering, not as a replacement. Avoid adding drinks with high alcohol content as they can kill beneficial microorganisms.",Alcoholic drinks
26,Yes,"Wine corks can be composted, but they break down slowly. Natural cork is biodegradable, while synthetic corks are not compostable. Cork is considered a 'brown' material in composting, providing carbon to the mix.","Chop or grind natural corks into smaller pieces to speed up decomposition. Soak them in water before adding to the compost pile. Use in moderation as part of a diverse compost mix. Always ensure corks are natural, not synthetic, before composting.",Wine corks
27,Yes,"Wood ash can be added to compost in moderation. It's rich in potassium and lime, which can help balance the pH of your compost. However, too much can make your compost overly alkaline.","Use wood ash sparingly, about 5% of total compost volume. Only use ash from untreated wood. Mix thoroughly with other compost materials to prevent clumping. Avoid using if your soil is already alkaline.",Wood ash
28,Yes,Hair is rich in nitrogen and can be a good addition to compost. It breaks down slowly but adds valuable nutrients. Both human and pet hair can be composted.,Spread hair thinly throughout the compost pile to prevent clumping. Mix with carbon-rich materials like leaves or paper. Avoid using hair treated with chemical dyes or other products as these may introduce unwanted substances to your compost.,Hair
29,Yes,"Nail clippings are made of keratin, a protein that can be broken down by microorganisms in the compost. They decompose slowly and add small amounts of nitrogen to the compost.",Scatter nail clippings thinly throughout the compost pile rather than clumping them together. Mix them with other nitrogen-rich materials. Avoid adding nail clippings with nail polish or other chemical treatments.,Nail clippings
30,No,Most cotton swabs have plastic stems which are not compostable. Even those with paper stems often contain synthetic fibers or chemicals that don't break down well in home compost systems.,"Instead of composting, consider switching to reusable alternatives like silicone swabs. If you must use disposable swabs, look for 100% organic cotton swabs with bamboo stems, which are more compostable.",Cotton swabs
31,Yes,"Cotton balls are compostable as they are made from natural fibers. However, ensure they are 100% cotton and not synthetic blends. They decompose slowly compared to food scraps.","Tear or shred the cotton balls before adding to increase surface area for faster decomposition. Use in moderation as they are considered a 'brown' material. Avoid cotton balls with chemicals, such as those used for removing nail polish.",Cotton balls
32,Yes,"Most weeds can be composted, but there are some precautions to take. Avoid composting weeds with mature seeds or those treated with herbicides. Some persistent weeds like bindweed or couch grass may survive the composting process.","Dry out weeds in the sun before adding to compost to kill seeds. For tough weeds, consider 'solarizing' by placing in a black plastic bag for a few weeks before composting. Always mix weeds with other compost materials for a balanced pile.",Weeds
33,Yes,"Prunings from trees and shrubs can be composted, but they break down slowly. Woody materials are considered 'brown' or carbon-rich components in compost. They help provide structure and aeration to your compost pile.","Chop or shred prunings into smaller pieces to speed up decomposition. Mix with 'green' materials like grass clippings for balanced compost. Avoid composting prunings from diseased plants or those treated with pesticides. For very woody prunings, consider using them as mulch instead.",Prunings
34,Yes,"Fallen leaves are an excellent addition to compost piles. They're considered a 'brown' material, rich in carbon. They help balance the nitrogen-rich 'green' materials and provide structure to the compost pile.",Shred leaves before adding to speed up decomposition. Mix with 'green' materials like grass clippings or kitchen scraps. Avoid using leaves from black walnut trees or diseased plants. Moisten dry leaves when adding to the pile.,Fallen leaves
35,Yes,"Grass clippings are an excellent source of nitrogen for compost. They break down quickly and can help heat up your compost pile. However, they can also become matted and slimy if added in large quantities.","Add grass clippings in thin layers, alternating with brown materials like dried leaves or cardboard. Avoid using grass treated with herbicides or pesticides. If possible, let grass clippings dry out a bit before adding to the compost to prevent clumping.",Grass clippings
36,No,Diseased plants can potentially spread pathogens throughout your compost pile and infect healthy plants when the compost is used. It's generally safer to dispose of diseased plants through other means.,"If you must compost diseased plants, ensure your compost reaches high temperatures (above 140°F/60°C) for extended periods to kill pathogens. Consider using a separate, dedicated compost bin for diseased materials. Always err on the side of caution and dispose of severely diseased plants in the trash.",Diseased plants
